type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906945.954,1.59953,-0.07086,-0.26351,3.10860,1.57001,-0.08029,0.01922,3.14174,0.18038,-2.20533,2,44.00000
1740906945.965,1.61060,-0.07262,-0.23724,3.12430,1.57001,-0.08553,0.05767,3.13828,-0.53212,-2.44381,2,48.00000
1740906945.975,1.62128,-0.07422,-0.22319,3.14000,1.56999,-0.09081,0.09616,3.13159,-1.25901,-2.68904,2,53.00000
1740906945.986,1.63224,-0.07574,-0.21758,3.14000,0.00000,-0.09629,0.13442,3.11950,-2.01377,-2.95241,2,59.00000
1740906945.997,1.64284,-0.07740,-0.17987,3.14000,0.00000,-0.10139,0.17527,3.10274,-2.78744,-3.19902,2,63.00000
1740906946.008,1.65391,-0.07836,-0.19219,3.14000,0.00000,-0.10703,0.21303,3.08190,-3.57601,-3.30000,2,66.00000
1740906946.019,1.66439,-0.07940,-0.18549,3.15570,1.56999,-0.11277,0.24705,3.06005,-4.34414,-3.30000,2,66.00000
1740906946.029,1.67531,-0.07989,-0.23890,3.15570,0.00000,-0.11958,0.26607,3.03504,-5.06414,-3.30000,2,66.00000
1740906946.040,1.68586,-0.08709,-0.49420,3.12430,-3.13997,-0.13088,0.24572,3.00321,-5.73001,-3.30000,2,66.00000
1740906946.051,1.69700,-0.09445,1.09501,3.09290,-3.14002,-0.11402,0.40439,2.96372,-6.45194,-3.30000,2,66.00000
1740906946.061,1.70674,-0.09001,1.40777,3.06150,-3.13997,-0.09296,0.58006,2.91935,-7.12503,-2.57825,2,51.00000
1740906946.072,1.71757,-0.08131,0.83633,2.99870,-6.28004,-0.08340,0.67218,2.86739,-7.73641,-2.06164,2,41.00000
1740906946.083,1.72862,-0.07551,0.50903,2.95160,-4.70998,-0.07977,0.67698,2.81306,-8.00244,-2.02948,2,40.00000
1740906946.093,1.73905,-0.07306,0.46315,2.88880,-6.27999,-0.07664,0.65077,2.75591,-8.07278,-2.09222,2,41.00000
1740906946.105,1.75075,-0.07138,0.42162,2.84170,-4.71001,-0.07401,0.62028,2.69998,-8.10845,-2.17883,2,43.00000
1740906946.115,1.76054,-0.06821,0.65563,2.79460,-4.70998,-0.06708,0.62385,2.64461,-8.17151,-1.97514,2,39.00000
1740906946.125,1.77103,-0.06416,0.53888,2.74750,-4.71003,-0.06232,0.61876,2.59003,-8.24469,-1.88481,2,37.00000
1740906946.136,1.78229,-0.06110,0.34280,2.70040,-4.70998,-0.06083,0.58174,2.53655,-8.21684,-2.01491,2,40.00000
1740906946.146,1.79179,-0.05711,0.37235,2.65330,-4.70998,-0.05846,0.54848,2.48430,-8.15465,-2.08637,2,41.00000
1740906946.157,1.80245,-0.05691,0.23870,2.60620,-4.71003,-0.05829,0.51067,2.43329,-8.13189,-2.26306,2,45.00000
1740906946.167,1.81303,-0.05737,0.37121,2.55910,-4.70998,-0.05557,0.49621,2.38270,-8.14336,-2.25849,2,45.00000
